IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Limiti amministrativi 2014 delle province di Regione Lombardia,Limiti amministrativi 2015 delle province di Regione Lombardia
10463,Ozono,µg/m³,1266,Bertonico,65,LO,Bertonico,N,03/08/2009,,5009105,552297,45.23349364130374,9.666250375296032,"(45.23349364130374, 9.666250375296032)",11,11
6392,Ossidi di Azoto,µg/m³,557,Lonate Pozzolo,204,VA,Lonate Pozzolo,S,05/12/1996,30/07/2018,5048975,479783,45.59402351710858,8.7407965765392,"(45.59402351710858, 8.7407965765392)",1,1
5558,Biossido di Azoto,µg/m³,555,Busto Arsizio - via Magenta,222,VA,Busto Arsizio,S,25/05/1991,30/07/2018,5050810,488313,45.610736040012604,8.850115752092071,"(45.610736040012604, 8.850115752092071)",1,1
6619,Particolato Totale Sospeso,µg/m³,561,Como - viale Cattaneo,202,CO,Como,S,17/02/1991,02/01/2000,5073500,505203,45.81504286011291,9.06697137484454,"(45.81504286011291, 9.06697137484454)",2,2
6691,Ozono,µg/m³,642,Pavia - via Folperti,77,PV,Pavia,N,01/06/2002,,5004590,512932,45.19467609907785,9.164638300630086,"(45.19467609907785, 9.164638300630086)",7,7
6734,Ossidi di Azoto,µg/m³,645,Voghera - viale Repubblica $,100,PV,Voghera,S,01/06/2003,15/10/2012,4981380,500562,44.98586313155348,9.007128842722402,"(44.98586313155348, 9.007128842722402)",7,7
5712,Ozono,µg/m³,510,Inzago,138,MI,Inzago,S,24/02/2001,01/01/2018,5043030,538012,45.539768856661,9.486885367436152,"(45.539768856661, 9.486885367436152)",4,4
10169,Monossido di Carbonio,mg/m³,703,Schivenoglia,NULL,MN,Schivenoglia,N,29/11/2006,,4986922,663580,45.016877820755425,11.07609463264049,"(45.016877820755425, 11.07609463264049)",9,9
9797,Benzene,µg/m³,670,Mantova - S.Agnese,22,MN,Mantova,N,30/09/2005,,5002356,641122,45.16056833010576,10.79556411370788,"(45.16056833010576, 10.79556411370788)",9,9
6675,Particolato Totale Sospeso,µg/m³,567,Chiavenna,333,SO,Chiavenna,S,27/10/1993,02/10/2002,5129768,530454,46.320803497826546,9.395590913257395,"(46.320803497826546, 9.395590913257395)",3,3
10350,Ozono,µg/m³,532,Cuggiono,156,MI,Cuggiono,S,28/02/2007,01/01/2017,5038680,484723,45.5014842949991,8.804453762398397,"(45.5014842949991, 8.804453762398397)",4,4
6208,Ossidi di Azoto,µg/m³,595,Filago - via Don Milani,190,BG,Filago,N,06/03/1992,,5053519,543342,45.63386450908066,9.556084255790864,"(45.63386450908066, 9.556084255790864)",5,5
5551,Biossido di Azoto,µg/m³,548,Milano - via Senato,118,MI,Milano,N,21/04/1995,,5035238,515435,45.470499014097,9.197460360112531,"(45.470499014097, 9.197460360112531)",4,4
6386,Ossidi di Azoto,µg/m³,558,Busto Arsizio - Accam,206,VA,Busto Arsizio,N,06/12/1998,,5047718,487687,45.582894292717725,8.842165456706075,"(45.582894292717725, 8.842165456706075)",1,1
10335,PM10 (SM2005),µg/m³,709,Vigevano - via Valletta,109,PV,Vigevano,N,08/08/2007,,5016690,487833,45.303607869655714,8.844804609965438,"(45.303607869655714, 8.844804609965438)",7,7
10013,Particelle sospese PM2.5,µg/m³,576,Merate,279,LC,Merate,N,10/09/2006,,5060569,531623,45.69795198970243,9.406190938686596,"(45.69795198970243, 9.406190938686596)",10,10
9924,Monossido di Carbonio,mg/m³,677,Cremona - Via Fatebenefratelli,43,CR,Cremona,N,08/04/2006,,4999315,582066,45.14254063221695,10.043836158369393,"(45.14254063221695, 10.043836158369393)",8,8
6258,Ossidi di Azoto,µg/m³,578,Varenna $,220,LC,Varenna,S,01/01/1991,07/02/2008,5095134,522088,46.00942283474235,9.285304059583972,"(46.00942283474235, 9.285304059583972)",10,10
6927,PM10 (SM2005),µg/m³,574,Lecco - Via Amendola,214,LC,Lecco,N,12/05/2000,,5077479,530713,45.850191194578535,9.395577066893223,"(45.850191194578535, 9.395577066893223)",10,10
10018,Benzene,µg/m³,685,Calusco d' Adda,273,BG,Calusco d'Adda,N,30/06/2006,,5059767,537706,45.69042907854514,9.484260927647789,"(45.69042907854514, 9.484260927647789)",5,5
10145,Monossido di Carbonio,mg/m³,701,Ostiglia - via Colombo,14,MN,Ostiglia,S,29/11/2006,01/01/2017,4993316,668216,45.073311155731965,11.137034007299844,"(45.073311155731965, 11.137034007299844)",9,9
10396,Particelle sospese PM2.5,µg/m³,674,Monza - via Machiavelli,162,MB,Monza,N,19/12/2008,,5047450,521343,45.58026348442243,9.273573092713274,"(45.58026348442243, 9.273573092713274)",12,12
6791,Ozono,µg/m³,653,Brescia - via Ziziola,125,BS,Brescia,S,15/10/1997,01/01/2018,5040836,595170,45.51455919056731,10.218463502801265,"(45.51455919056731, 10.218463502801265)",6,6
