Subject,ZCTA5 10472,,,ZCTA5 11428,,,ZCTA5 11432,,,ZCTA5 11226,,,ZCTA5 11416,,,ZCTA5 10452,,,ZCTA5 11436,,,ZCTA5 11208,,,ZCTA5 10031,,,ZCTA5 11433,,,ZCTA5 11203,,,ZCTA5 11236,,,ZCTA5 11377,,,ZCTA5 10468,,,ZCTA5 11421,,,ZCTA5 11691,,,ZCTA5 11237,,,ZCTA5 11219,,,ZCTA5 11411,,,ZCTA5 11232,,,ZCTA5 11429,,,ZCTA5 11373,,,ZCTA5 11372,,,ZCTA5 11369,,,ZCTA5 11368,,
,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct,Number,MOE,Pct
S1. HOUSEHOLDS BY TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: Total households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    Female householder, no husband present",6864,+/- 520,31.4,836,+/- 165,15,2715,+/- 347,14.6,9832,+/- 559,26.8,1444,+/- 184,20,9394,+/- 574,36,1543,+/- 191,27.6,9244,+/- 588,28.7,4295,+/- 495,19.6,3378,+/- 387,32.1,7964,+/- 527,28.7,10275,+/- 624,30.9,3588,+/- 364,11.4,8484,+/- 581,32.2,2274,+/- 262,19.5,5408,+/- 627,26.3,3351,+/- 371,20,2287,+/- 346,9.4,1772,+/- 188,28.3,1465,+/- 233,16.6,1915,+/- 218,26.1,4367,+/- 457,14.4,3371,+/- 446,14.2,1815,+/- 208,17.6,6647,+/- 682,23.3
      With own children under 18 years,3938,+/- 426,18,281,+/- 111,5.1,848,+/- 193,4.6,3875,+/- 370,10.5,608,+/- 117,8.4,5327,+/- 436,20.4,540,+/- 111,9.7,4789,+/- 422,14.9,1407,+/- 315,6.4,1442,+/- 282,13.7,3164,+/- 397,11.4,3945,+/- 420,11.9,1159,+/- 235,3.7,4904,+/- 452,18.6,980,+/- 189,8.4,2695,+/- 438,13.1,1538,+/- 243,9.2,782,+/- 212,3.2,390,+/- 105,6.2,651,+/- 154,7.4,563,+/- 145,7.7,1477,+/- 287,4.9,1112,+/- 306,4.7,775,+/- 142,7.5,3189,+/- 455,11.2
  Nonfamily households,6639,+/- 530,30.3,876,+/- 154,15.8,5616,+/- 391,30.3,14490,+/- 644,39.4,1182,+/- 163,16.4,8779,+/- 528,33.6,1100,+/- 151,19.7,9410,+/- 610,29.2,10891,+/- 598,49.6,2823,+/- 254,26.8,9284,+/- 540,33.4,8884,+/- 483,26.7,12064,+/- 629,38.4,8208,+/- 520,31.2,2409,+/- 248,20.7,6461,+/- 532,31.4,7829,+/- 449,46.8,5338,+/- 382,21.9,1355,+/- 131,21.6,2999,+/- 261,34,1348,+/- 219,18.4,9511,+/- 581,31.4,9681,+/- 672,40.7,3147,+/- 298,30.6,6047,+/- 613,21.2
    Householder living alone,5550,+/- 3928,83.6,765,+/- 543,87.3,4635,+/- 3308,82.5,11344,+/- 8105,78.3,900,+/- 637,76.1,7646,+/- 5428,87.1,792,+/- 561,72,8160,+/- 5834,86.7,7169,+/- 5114,65.8,2420,+/- 1766,85.7,8308,+/- 6110,89.5,7953,+/- 5759,89.5,9292,+/- 6576,77,7111,+/- 5057,86.6,1919,+/- 1378,79.7,5899,+/- 4196,91.3,3895,+/- 2754,49.8,4455,+/- 3215,83.5,1184,+/- 859,87.4,1822,+/- 1289,60.8,1075,+/- 775,79.7,6497,+/- 4626,68.3,7441,+/- 5267,76.9,2731,+/- 1939,86.8,4330,+/- 3103,71.6
      65 years and over living alone,2365,+/- 1727,35.6,404,+/- 290,46.1,1653,+/- 1268,29.4,3173,+/- 2416,21.9,342,+/- 262,28.9,2520,+/- 1838,28.7,343,+/- 252,31.2,2375,+/- 1804,25.2,2270,+/- 1736,20.8,1216,+/- 922,43.1,3599,+/- 2829,38.8,2630,+/- 2083,29.6,3316,+/- 2457,27.5,2494,+/- 1890,30.4,820,+/- 663,34,2508,+/- 1895,38.8,956,+/- 736,12.2,2474,+/- 1950,46.3,610,+/- 492,45,429,+/- 318,14.3,483,+/- 357,35.8,2836,+/- 2207,29.8,2495,+/- 1899,25.8,1065,+/- 781,33.8,2095,+/- 1619,34.6
  Households with one or more people under 18 years,9379,+/- 479,42.9,2155,+/- 185,38.8,6471,+/- 436,34.9,11658,+/- 578,31.7,3391,+/- 254,47,10955,+/- 611,41.9,2218,+/- 167,39.7,13139,+/- 595,40.8,5818,+/- 554,26.5,4320,+/- 358,41.1,8495,+/- 466,30.6,11703,+/- 579,35.2,8516,+/- 534,27.1,11040,+/- 594,41.9,4306,+/- 295,37,8545,+/- 662,41.5,5100,+/- 410,30.5,11238,+/- 494,46,2142,+/- 186,34.2,3166,+/- 259,35.9,2646,+/- 247,36,9973,+/- 636,32.9,6842,+/- 435,28.7,3641,+/- 256,35.4,13928,+/- 662,48.9
  Households with one or more people 65 years and over,5787,+/- 405,26.4,1964,+/- 157,35.3,5474,+/- 324,29.5,9719,+/- 570,26.5,1906,+/- 165,26.4,5222,+/- 420,20,1727,+/- 190,30.9,7116,+/- 470,22.1,5379,+/- 508,24.5,3500,+/- 256,33.3,10223,+/- 381,36.8,10334,+/- 450,31,9490,+/- 602,30.2,5978,+/- 387,22.7,3541,+/- 228,30.4,5530,+/- 468,26.9,2681,+/- 272,16,7007,+/- 385,28.7,2893,+/- 208,46.1,1635,+/- 242,18.6,2693,+/- 203,36.7,8983,+/- 475,29.7,7044,+/- 441,29.6,3515,+/- 256,34.1,6910,+/- 470,24.2
Average household size,3.11,+/- 0.07,,3.4,+/- 0.1,,3.1,+/- 0.08,,2.71,+/- 0.06,,3.75,+/- 0.12,,2.88,+/- 0.07,,3.55,+/- 0.11,,3.05,+/- 0.05,,2.72,+/- 0.08,,3.46,+/- 0.12,,2.66,+/- 0.05,,2.97,+/- 0.06,,2.74,+/- 0.06,,2.93,+/- 0.06,,3.52,+/- 0.07,,3.12,+/- 0.11,,2.86,+/- 0.09,,3.64,+/- 0.08,,3.31,+/- 0.08,,2.9,+/- 0.08,,3.72,+/- 0.13,,3.09,+/- 0.07,,2.58,+/- 0.09,,3.22,+/- 0.1,,3.92,+/- 0.09,
Average family size,3.73,+/- 0.17,,3.77,+/- 0.2,,3.75,+/- 0.12,,3.48,+/- 0.08,,4.05,+/- 0.17,,3.63,+/- 0.14,,3.87,+/- 0.23,,3.68,+/- 0.1,,3.5,+/- 0.19,,4.07,+/- 0.27,,3.3,+/- 0.1,,3.52,+/- 0.09,,3.41,+/- 0.12,,3.57,+/- 0.12,,3.89,+/- 0.17,,3.92,+/- 0.21,,3.54,+/- 0.16,,4.21,+/- 0.13,,3.77,+/- 0.17,,3.37,+/- 0.21,,4.08,+/- 0.19,,3.62,+/- 0.13,,3.21,+/- 0.16,,3.86,+/- 0.18,,4.07,+/- 0.14,
S2. PERSONS BY HOUSEHOLD TYPE / GROUP QUARTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
